subject_id,score,user_weight_sum,n_users,classifications,score_history
6,"{""negative"": 0.5, ""tenebrite"": 1.0}",8,"{""negative"": 3, ""tenebrite"": 5}","[{""classification_id"": ""0"", ""subject_id"": 6, ""user_id"": 8, ""label"": ""tenebrite""}, {""classification_id"": ""7"", ""subject_id"": 6, ""user_id"": 10, ""label"": ""tenebrite""}, {""classification_id"": ""22"", ""subject_id"": 6, ""user_id"": 6, ""label"": ""negative""}, {""classification_id"": ""24"", ""subject_id"": 6, ""user_id"": 3, ""label"": ""tenebrite""}, {""classification_id"": ""30"", ""subject_id"": 6, ""user_id"": 7, ""label"": ""tenebrite""}, {""classification_id"": ""31"", ""subject_id"": 6, ""user_id"": 9, ""label"": ""tenebrite""}, {""classification_id"": ""34"", ""subject_id"": 6, ""user_id"": 1, ""label"": ""negative""}, {""classification_id"": ""36"", ""subject_id"": 6, ""user_id"": 7, ""label"": ""negative""}]","[{""score"": {""negative"": 0.5, ""tenebrite"": 1.0}, ""user_weight_sum"": 1, ""n_users"": {""negative"": 3, ""tenebrite"": 5}, ""user_id"": 8, ""weight"": 1, ""n_subjects"": 4}, {""score"": {""negative"": 0.5, ""tenebrite"": 1.0}, ""user_weight_sum"": 2, ""n_users"": {""negative"": 3, ""tenebrite"": 5}, ""user_id"": 10, ""weight"": 1, ""n_subjects"": 3}, {""score"": {""negative"": 0.5, ""tenebrite"": 1.0}, ""user_weight_sum"": 3, ""n_users"": {""negative"": 3, ""tenebrite"": 5}, ""user_id"": 6, ""weight"": 1, ""n_subjects"": 4}, {""score"": {""negative"": 0.5, ""tenebrite"": 1.0}, ""user_weight_sum"": 4, ""n_users"": {""negative"": 3, ""tenebrite"": 5}, ""user_id"": 3, ""weight"": 1, ""n_subjects"": 5}, {""score"": {""negative"": 0.5, ""tenebrite"": 1.0}, ""user_weight_sum"": 5, ""n_users"": {""negative"": 3, ""tenebrite"": 5}, ""user_id"": 7, ""weight"": 1, ""n_subjects"": 8}, {""score"": {""negative"": 0.5, ""tenebrite"": 1.0}, ""user_weight_sum"": 6, ""n_users"": {""negative"": 3, ""tenebrite"": 5}, ""user_id"": 9, ""weight"": 1, ""n_subjects"": 7}, {""score"": {""negative"": 0.5, ""tenebrite"": 1.0}, ""user_weight_sum"": 7, ""n_users"": {""negative"": 3, ""tenebrite"": 5}, ""user_id"": 1, ""weight"": 1, ""n_subjects"": 6}, {""score"": {""negative"": 0.5, ""tenebrite"": 1.0}, ""user_weight_sum"": 8, ""n_users"": {""negative"": 3, ""tenebrite"": 5}, ""user_id"": 7, ""weight"": 1, ""n_subjects"": 8}]"
10,"{""negative"": 1.0, ""tenebrite"": 0.5238095238095238}",7,"{""negative"": 4, ""tenebrite"": 3}","[{""classification_id"": ""1"", ""subject_id"": 10, ""user_id"": 6, ""label"": ""negative""}, {""classification_id"": ""3"", ""subject_id"": 10, ""user_id"": 5, ""label"": ""negative""}, {""classification_id"": ""12"", ""subject_id"": 10, ""user_id"": 1, ""label"": ""tenebrite""}, {""classification_id"": ""15"", ""subject_id"": 10, ""user_id"": 2, ""label"": ""negative""}, {""classification_id"": ""17"", ""subject_id"": 10, ""user_id"": 1, ""label"": ""negative""}, {""classification_id"": ""26"", ""subject_id"": 10, ""user_id"": 2, ""label"": ""tenebrite""}, {""classification_id"": ""29"", ""subject_id"": 10, ""user_id"": 4, ""label"": ""tenebrite""}]","[{""score"": {""negative"": 1.0, ""tenebrite"": 0.5238095238095238}, ""user_weight_sum"": 1, ""n_users"": {""negative"": 4, ""tenebrite"": 3}, ""user_id"": 6, ""weight"": 1, ""n_subjects"": 4}, {""score"": {""negative"": 1.0, ""tenebrite"": 0.5238095238095238}, ""user_weight_sum"": 2, ""n_users"": {""negative"": 4, ""tenebrite"": 3}, ""user_id"": 5, ""weight"": 1, ""n_subjects"": 5}, {""score"": {""negative"": 1.0, ""tenebrite"": 0.5238095238095238}, ""user_weight_sum"": 3, ""n_users"": {""negative"": 4, ""tenebrite"": 3}, ""user_id"": 1, ""weight"": 1, ""n_subjects"": 6}, {""score"": {""negative"": 1.0, ""tenebrite"": 0.5238095238095238}, ""user_weight_sum"": 4, ""n_users"": {""negative"": 4, ""tenebrite"": 3}, ""user_id"": 2, ""weight"": 1, ""n_subjects"": 4}, {""score"": {""negative"": 1.0, ""tenebrite"": 0.5238095238095238}, ""user_weight_sum"": 5, ""n_users"": {""negative"": 4, ""tenebrite"": 3}, ""user_id"": 1, ""weight"": 1, ""n_subjects"": 6}, {""score"": {""negative"": 1.0, ""tenebrite"": 0.5238095238095238}, ""user_weight_sum"": 6, ""n_users"": {""negative"": 4, ""tenebrite"": 3}, ""user_id"": 2, ""weight"": 1, ""n_subjects"": 4}, {""score"": {""negative"": 1.0, ""tenebrite"": 0.5238095238095238}, ""user_weight_sum"": 7, ""n_users"": {""negative"": 4, ""tenebrite"": 3}, ""user_id"": 4, ""weight"": 1, ""n_subjects"": 4}]"
3,"{""negative"": 0.8333333333333334, ""tenebrite"": 1.0}",6,"{""negative"": 5, ""tenebrite"": 1}","[{""classification_id"": ""2"", ""subject_id"": 3, ""user_id"": 7, ""label"": ""tenebrite""}, {""classification_id"": ""16"", ""subject_id"": 3, ""user_id"": 9, ""label"": ""negative""}, {""classification_id"": ""41"", ""subject_id"": 3, ""user_id"": 9, ""label"": ""negative""}, {""classification_id"": ""44"", ""subject_id"": 3, ""user_id"": 5, ""label"": ""negative""}, {""classification_id"": ""48"", ""subject_id"": 3, ""user_id"": 7, ""label"": ""negative""}, {""classification_id"": ""49"", ""subject_id"": 3, ""user_id"": 9, ""label"": ""negative""}]","[{""score"": {""negative"": 0.8333333333333334, ""tenebrite"": 1.0}, ""user_weight_sum"": 1, ""n_users"": {""negative"": 5, ""tenebrite"": 1}, ""user_id"": 7, ""weight"": 1, ""n_subjects"": 8}, {""score"": {""negative"": 0.8333333333333334, ""tenebrite"": 1.0}, ""user_weight_sum"": 2, ""n_users"": {""negative"": 5, ""tenebrite"": 1}, ""user_id"": 9, ""weight"": 1, ""n_subjects"": 7}, {""score"": {""negative"": 0.8333333333333334, ""tenebrite"": 1.0}, ""user_weight_sum"": 3, ""n_users"": {""negative"": 5, ""tenebrite"": 1}, ""user_id"": 9, ""weight"": 1, ""n_subjects"": 7}, {""score"": {""negative"": 0.8333333333333334, ""tenebrite"": 1.0}, ""user_weight_sum"": 4, ""n_users"": {""negative"": 5, ""tenebrite"": 1}, ""user_id"": 5, ""weight"": 1, ""n_subjects"": 5}, {""score"": {""negative"": 0.8333333333333334, ""tenebrite"": 1.0}, ""user_weight_sum"": 5, ""n_users"": {""negative"": 5, ""tenebrite"": 1}, ""user_id"": 7, ""weight"": 1, ""n_subjects"": 8}, {""score"": {""negative"": 0.8333333333333334, ""tenebrite"": 1.0}, ""user_weight_sum"": 6, ""n_users"": {""negative"": 5, ""tenebrite"": 1}, ""user_id"": 9, ""weight"": 1, ""n_subjects"": 7}]"
8,"{""negative"": 1.0, ""tenebrite"": 0.3333333333333333}",7,"{""negative"": 6, ""tenebrite"": 1}","[{""classification_id"": ""4"", ""subject_id"": 8, ""user_id"": 5, ""label"": ""negative""}, {""classification_id"": ""9"", ""subject_id"": 8, ""user_id"": 4, ""label"": ""negative""}, {""classification_id"": ""13"", ""subject_id"": 8, ""user_id"": 8, ""label"": ""tenebrite""}, {""classification_id"": ""14"", ""subject_id"": 8, ""user_id"": 9, ""label"": ""negative""}, {""classification_id"": ""39"", ""subject_id"": 8, ""user_id"": 5, ""label"": ""negative""}, {""classification_id"": ""40"", ""subject_id"": 8, ""user_id"": 8, ""label"": ""negative""}, {""classification_id"": ""47"", ""subject_id"": 8, ""user_id"": 3, ""label"": ""negative""}]","[{""score"": {""negative"": 1.0, ""tenebrite"": 0.3333333333333333}, ""user_weight_sum"": 1, ""n_users"": {""negative"": 6, ""tenebrite"": 1}, ""user_id"": 5, ""weight"": 1, ""n_subjects"": 5}, {""score"": {""negative"": 1.0, ""tenebrite"": 0.3333333333333333}, ""user_weight_sum"": 2, ""n_users"": {""negative"": 6, ""tenebrite"": 1}, ""user_id"": 4, ""weight"": 1, ""n_subjects"": 4}, {""score"": {""negative"": 1.0, ""tenebrite"": 0.3333333333333333}, ""user_weight_sum"": 3, ""n_users"": {""negative"": 6, ""tenebrite"": 1}, ""user_id"": 8, ""weight"": 1, ""n_subjects"": 4}, {""score"": {""negative"": 1.0, ""tenebrite"": 0.3333333333333333}, ""user_weight_sum"": 4, ""n_users"": {""negative"": 6, ""tenebrite"": 1}, ""user_id"": 9, ""weight"": 1, ""n_subjects"": 7}, {""score"": {""negative"": 1.0, ""tenebrite"": 0.3333333333333333}, ""user_weight_sum"": 5, ""n_users"": {""negative"": 6, ""tenebrite"": 1}, ""user_id"": 5, ""weight"": 1, ""n_subjects"": 5}, {""score"": {""negative"": 1.0, ""tenebrite"": 0.3333333333333333}, ""user_weight_sum"": 6, ""n_users"": {""negative"": 6, ""tenebrite"": 1}, ""user_id"": 8, ""weight"": 1, ""n_subjects"": 4}, {""score"": {""negative"": 1.0, ""tenebrite"": 0.3333333333333333}, ""user_weight_sum"": 7, ""n_users"": {""negative"": 6, ""tenebrite"": 1}, ""user_id"": 3, ""weight"": 1, ""n_subjects"": 5}]"
5,"{""negative"": 1.0, ""tenebrite"": 0.5}",4,"{""negative"": 3, ""tenebrite"": 1}","[{""classification_id"": ""5"", ""subject_id"": 5, ""user_id"": 10, ""label"": ""negative""}, {""classification_id"": ""35"", ""subject_id"": 5, ""user_id"": 10, ""label"": ""tenebrite""}, {""classification_id"": ""37"", ""subject_id"": 5, ""user_id"": 3, ""label"": ""negative""}, {""classification_id"": ""43"", ""subject_id"": 5, ""user_id"": 3, ""label"": ""negative""}]","[{""score"": {""negative"": 1.0, ""tenebrite"": 0.5}, ""user_weight_sum"": 1, ""n_users"": {""negative"": 3, ""tenebrite"": 1}, ""user_id"": 10, ""weight"": 1, ""n_subjects"": 3}, {""score"": {""negative"": 1.0, ""tenebrite"": 0.5}, ""user_weight_sum"": 2, ""n_users"": {""negative"": 3, ""tenebrite"": 1}, ""user_id"": 10, ""weight"": 1, ""n_subjects"": 3}, {""score"": {""negative"": 1.0, ""tenebrite"": 0.5}, ""user_weight_sum"": 3, ""n_users"": {""negative"": 3, ""tenebrite"": 1}, ""user_id"": 3, ""weight"": 1, ""n_subjects"": 5}, {""score"": {""negative"": 1.0, ""tenebrite"": 0.5}, ""user_weight_sum"": 4, ""n_users"": {""negative"": 3, ""tenebrite"": 1}, ""user_id"": 3, ""weight"": 1, ""n_subjects"": 5}]"
7,"{""negative"": 1.0, ""tenebrite"": 0.3333333333333333}",4,"{""negative"": 3, ""tenebrite"": 1}","[{""classification_id"": ""6"", ""subject_id"": 7, ""user_id"": 9, ""label"": ""negative""}, {""classification_id"": ""23"", ""subject_id"": 7, ""user_id"": 7, ""label"": ""negative""}, {""classification_id"": ""27"", ""subject_id"": 7, ""user_id"": 1, ""label"": ""tenebrite""}, {""classification_id"": ""28"", ""subject_id"": 7, ""user_id"": 6, ""label"": ""negative""}]","[{""score"": {""negative"": 1.0, ""tenebrite"": 0.3333333333333333}, ""user_weight_sum"": 1, ""n_users"": {""negative"": 3, ""tenebrite"": 1}, ""user_id"": 9, ""weight"": 1, ""n_subjects"": 7}, {""score"": {""negative"": 1.0, ""tenebrite"": 0.3333333333333333}, ""user_weight_sum"": 2, ""n_users"": {""negative"": 3, ""tenebrite"": 1}, ""user_id"": 7, ""weight"": 1, ""n_subjects"": 8}, {""score"": {""negative"": 1.0, ""tenebrite"": 0.3333333333333333}, ""user_weight_sum"": 3, ""n_users"": {""negative"": 3, ""tenebrite"": 1}, ""user_id"": 1, ""weight"": 1, ""n_subjects"": 6}, {""score"": {""negative"": 1.0, ""tenebrite"": 0.3333333333333333}, ""user_weight_sum"": 4, ""n_users"": {""negative"": 3, ""tenebrite"": 1}, ""user_id"": 6, ""weight"": 1, ""n_subjects"": 4}]"
2,"{""negative"": 0.6666666666666666, ""tenebrite"": 1.0}",3,"{""negative"": 2, ""tenebrite"": 1}","[{""classification_id"": ""8"", ""subject_id"": 2, ""user_id"": 7, ""label"": ""tenebrite""}, {""classification_id"": ""10"", ""subject_id"": 2, ""user_id"": 7, ""label"": ""negative""}, {""classification_id"": ""33"", ""subject_id"": 2, ""user_id"": 4, ""label"": ""negative""}]","[{""score"": {""negative"": 0.6666666666666666, ""tenebrite"": 1.0}, ""user_weight_sum"": 1, ""n_users"": {""negative"": 2, ""tenebrite"": 1}, ""user_id"": 7, ""weight"": 1, ""n_subjects"": 8}, {""score"": {""negative"": 0.6666666666666666, ""tenebrite"": 1.0}, ""user_weight_sum"": 2, ""n_users"": {""negative"": 2, ""tenebrite"": 1}, ""user_id"": 7, ""weight"": 1, ""n_subjects"": 8}, {""score"": {""negative"": 0.6666666666666666, ""tenebrite"": 1.0}, ""user_weight_sum"": 3, ""n_users"": {""negative"": 2, ""tenebrite"": 1}, ""user_id"": 4, ""weight"": 1, ""n_subjects"": 4}]"
4,"{""negative"": 0.5, ""tenebrite"": 1.0}",2,"{""negative"": 1, ""tenebrite"": 1}","[{""classification_id"": ""11"", ""subject_id"": 4, ""user_id"": 7, ""label"": ""tenebrite""}, {""classification_id"": ""32"", ""subject_id"": 4, ""user_id"": 1, ""label"": ""negative""}]","[{""score"": {""negative"": 0.5, ""tenebrite"": 1.0}, ""user_weight_sum"": 1, ""n_users"": {""negative"": 1, ""tenebrite"": 1}, ""user_id"": 7, ""weight"": 1, ""n_subjects"": 8}, {""score"": {""negative"": 0.5, ""tenebrite"": 1.0}, ""user_weight_sum"": 2, ""n_users"": {""negative"": 1, ""tenebrite"": 1}, ""user_id"": 1, ""weight"": 1, ""n_subjects"": 6}]"
1,"{""negative"": 1.0, ""tenebrite"": 0}",3,"{""negative"": 3, ""tenebrite"": 0}","[{""classification_id"": ""18"", ""subject_id"": 1, ""user_id"": 2, ""label"": ""negative""}, {""classification_id"": ""19"", ""subject_id"": 1, ""user_id"": 6, ""label"": ""negative""}, {""classification_id"": ""45"", ""subject_id"": 1, ""user_id"": 1, ""label"": ""negative""}]","[{""score"": {""negative"": 1.0, ""tenebrite"": 0}, ""user_weight_sum"": 1, ""n_users"": {""negative"": 3, ""tenebrite"": 0}, ""user_id"": 2, ""weight"": 1, ""n_subjects"": 4}, {""score"": {""negative"": 1.0, ""tenebrite"": 0}, ""user_weight_sum"": 2, ""n_users"": {""negative"": 3, ""tenebrite"": 0}, ""user_id"": 6, ""weight"": 1, ""n_subjects"": 4}, {""score"": {""negative"": 1.0, ""tenebrite"": 0}, ""user_weight_sum"": 3, ""n_users"": {""negative"": 3, ""tenebrite"": 0}, ""user_id"": 1, ""weight"": 1, ""n_subjects"": 6}]"
9,"{""negative"": 1.0, ""tenebrite"": 0.3333333333333333}",6,"{""negative"": 5, ""tenebrite"": 1}","[{""classification_id"": ""20"", ""subject_id"": 9, ""user_id"": 4, ""label"": ""negative""}, {""classification_id"": ""21"", ""subject_id"": 9, ""user_id"": 2, ""label"": ""negative""}, {""classification_id"": ""25"", ""subject_id"": 9, ""user_id"": 3, ""label"": ""tenebrite""}, {""classification_id"": ""38"", ""subject_id"": 9, ""user_id"": 8, ""label"": ""negative""}, {""classification_id"": ""42"", ""subject_id"": 9, ""user_id"": 5, ""label"": ""negative""}, {""classification_id"": ""46"", ""subject_id"": 9, ""user_id"": 9, ""label"": ""negative""}]","[{""score"": {""negative"": 1.0, ""tenebrite"": 0.3333333333333333}, ""user_weight_sum"": 1, ""n_users"": {""negative"": 5, ""tenebrite"": 1}, ""user_id"": 4, ""weight"": 1, ""n_subjects"": 4}, {""score"": {""negative"": 1.0, ""tenebrite"": 0.3333333333333333}, ""user_weight_sum"": 2, ""n_users"": {""negative"": 5, ""tenebrite"": 1}, ""user_id"": 2, ""weight"": 1, ""n_subjects"": 4}, {""score"": {""negative"": 1.0, ""tenebrite"": 0.3333333333333333}, ""user_weight_sum"": 3, ""n_users"": {""negative"": 5, ""tenebrite"": 1}, ""user_id"": 3, ""weight"": 1, ""n_subjects"": 5}, {""score"": {""negative"": 1.0, ""tenebrite"": 0.3333333333333333}, ""user_weight_sum"": 4, ""n_users"": {""negative"": 5, ""tenebrite"": 1}, ""user_id"": 8, ""weight"": 1, ""n_subjects"": 4}, {""score"": {""negative"": 1.0, ""tenebrite"": 0.3333333333333333}, ""user_weight_sum"": 5, ""n_users"": {""negative"": 5, ""tenebrite"": 1}, ""user_id"": 5, ""weight"": 1, ""n_subjects"": 5}, {""score"": {""negative"": 1.0, ""tenebrite"": 0.3333333333333333}, ""user_weight_sum"": 6, ""n_users"": {""negative"": 5, ""tenebrite"": 1}, ""user_id"": 9, ""weight"": 1, ""n_subjects"": 7}]"
