user_id,weight,n_subjects,classifications,weight_history
8,0.9909909909909907,4,"[{""classification_id"": ""0"", ""subject_id"": 6, ""user_id"": 8, ""label"": ""tenebrite""}, {""classification_id"": ""13"", ""subject_id"": 8, ""user_id"": 8, ""label"": ""tenebrite""}, {""classification_id"": ""38"", ""subject_id"": 9, ""user_id"": 8, ""label"": ""negative""}, {""classification_id"": ""40"", ""subject_id"": 8, ""user_id"": 8, ""label"": ""negative""}]","[{""weight"": 1.25, ""n_subjects"": 4, ""subject_id"": 6, ""score"": {""negative"": 0.5, ""tenebrite"": 1.0}, ""user_weight_sum"": 8, ""n_users"": {""negative"": 3, ""tenebrite"": 5}}, {""weight"": 1.3333333333333333, ""n_subjects"": 4, ""subject_id"": 8, ""score"": {""negative"": 1.0, ""tenebrite"": 0.3333333333333333}, ""user_weight_sum"": 7, ""n_users"": {""negative"": 6, ""tenebrite"": 1}}, {""weight"": 1.5833333333333333, ""n_subjects"": 4, ""subject_id"": 9, ""score"": {""negative"": 1.0, ""tenebrite"": 0.3333333333333333}, ""user_weight_sum"": 6, ""n_users"": {""negative"": 5, ""tenebrite"": 1}}, {""weight"": 1.8333333333333333, ""n_subjects"": 4, ""subject_id"": 8, ""score"": {""negative"": 1.0, ""tenebrite"": 0.3333333333333333}, ""user_weight_sum"": 7, ""n_users"": {""negative"": 6, ""tenebrite"": 1}}]"
6,1.0135135135135134,4,"[{""classification_id"": ""1"", ""subject_id"": 10, ""user_id"": 6, ""label"": ""negative""}, {""classification_id"": ""19"", ""subject_id"": 1, ""user_id"": 6, ""label"": ""negative""}, {""classification_id"": ""22"", ""subject_id"": 6, ""user_id"": 6, ""label"": ""negative""}, {""classification_id"": ""28"", ""subject_id"": 7, ""user_id"": 6, ""label"": ""negative""}]","[{""weight"": 1.25, ""n_subjects"": 4, ""subject_id"": 10, ""score"": {""negative"": 1.0, ""tenebrite"": 0.5238095238095238}, ""user_weight_sum"": 7, ""n_users"": {""negative"": 4, ""tenebrite"": 3}}, {""weight"": 1.5, ""n_subjects"": 4, ""subject_id"": 1, ""score"": {""negative"": 1.0, ""tenebrite"": 0}, ""user_weight_sum"": 3, ""n_users"": {""negative"": 3, ""tenebrite"": 0}}, {""weight"": 1.625, ""n_subjects"": 4, ""subject_id"": 6, ""score"": {""negative"": 0.5, ""tenebrite"": 1.0}, ""user_weight_sum"": 8, ""n_users"": {""negative"": 3, ""tenebrite"": 5}}, {""weight"": 1.875, ""n_subjects"": 4, ""subject_id"": 7, ""score"": {""negative"": 1.0, ""tenebrite"": 0.3333333333333333}, ""user_weight_sum"": 4, ""n_users"": {""negative"": 3, ""tenebrite"": 1}}]"
7,1.0135135135135134,8,"[{""classification_id"": ""2"", ""subject_id"": 3, ""user_id"": 7, ""label"": ""tenebrite""}, {""classification_id"": ""8"", ""subject_id"": 2, ""user_id"": 7, ""label"": ""tenebrite""}, {""classification_id"": ""10"", ""subject_id"": 2, ""user_id"": 7, ""label"": ""negative""}, {""classification_id"": ""11"", ""subject_id"": 4, ""user_id"": 7, ""label"": ""tenebrite""}, {""classification_id"": ""23"", ""subject_id"": 7, ""user_id"": 7, ""label"": ""negative""}, {""classification_id"": ""30"", ""subject_id"": 6, ""user_id"": 7, ""label"": ""tenebrite""}, {""classification_id"": ""36"", ""subject_id"": 6, ""user_id"": 7, ""label"": ""negative""}, {""classification_id"": ""48"", ""subject_id"": 3, ""user_id"": 7, ""label"": ""negative""}]","[{""weight"": 1.125, ""n_subjects"": 8, ""subject_id"": 3, ""score"": {""negative"": 0.8333333333333334, ""tenebrite"": 1.0}, ""user_weight_sum"": 6, ""n_users"": {""negative"": 5, ""tenebrite"": 1}}, {""weight"": 1.25, ""n_subjects"": 8, ""subject_id"": 2, ""score"": {""negative"": 0.6666666666666666, ""tenebrite"": 1.0}, ""user_weight_sum"": 3, ""n_users"": {""negative"": 2, ""tenebrite"": 1}}, {""weight"": 1.3333333333333333, ""n_subjects"": 8, ""subject_id"": 2, ""score"": {""negative"": 0.6666666666666666, ""tenebrite"": 1.0}, ""user_weight_sum"": 3, ""n_users"": {""negative"": 2, ""tenebrite"": 1}}, {""weight"": 1.4583333333333333, ""n_subjects"": 8, ""subject_id"": 4, ""score"": {""negative"": 0.5, ""tenebrite"": 1.0}, ""user_weight_sum"": 2, ""n_users"": {""negative"": 1, ""tenebrite"": 1}}, {""weight"": 1.5833333333333333, ""n_subjects"": 8, ""subject_id"": 7, ""score"": {""negative"": 1.0, ""tenebrite"": 0.3333333333333333}, ""user_weight_sum"": 4, ""n_users"": {""negative"": 3, ""tenebrite"": 1}}, {""weight"": 1.7083333333333333, ""n_subjects"": 8, ""subject_id"": 6, ""score"": {""negative"": 0.5, ""tenebrite"": 1.0}, ""user_weight_sum"": 8, ""n_users"": {""negative"": 3, ""tenebrite"": 5}}, {""weight"": 1.7708333333333333, ""n_subjects"": 8, ""subject_id"": 6, ""score"": {""negative"": 0.5, ""tenebrite"": 1.0}, ""user_weight_sum"": 8, ""n_users"": {""negative"": 3, ""tenebrite"": 5}}, {""weight"": 1.875, ""n_subjects"": 8, ""subject_id"": 3, ""score"": {""negative"": 0.8333333333333334, ""tenebrite"": 1.0}, ""user_weight_sum"": 6, ""n_users"": {""negative"": 5, ""tenebrite"": 1}}]"
5,1.0630630630630629,5,"[{""classification_id"": ""3"", ""subject_id"": 10, ""user_id"": 5, ""label"": ""negative""}, {""classification_id"": ""4"", ""subject_id"": 8, ""user_id"": 5, ""label"": ""negative""}, {""classification_id"": ""39"", ""subject_id"": 8, ""user_id"": 5, ""label"": ""negative""}, {""classification_id"": ""42"", ""subject_id"": 9, ""user_id"": 5, ""label"": ""negative""}, {""classification_id"": ""44"", ""subject_id"": 3, ""user_id"": 5, ""label"": ""negative""}]","[{""weight"": 1.2, ""n_subjects"": 5, ""subject_id"": 10, ""score"": {""negative"": 1.0, ""tenebrite"": 0.5238095238095238}, ""user_weight_sum"": 7, ""n_users"": {""negative"": 4, ""tenebrite"": 3}}, {""weight"": 1.4, ""n_subjects"": 5, ""subject_id"": 8, ""score"": {""negative"": 1.0, ""tenebrite"": 0.3333333333333333}, ""user_weight_sum"": 7, ""n_users"": {""negative"": 6, ""tenebrite"": 1}}, {""weight"": 1.6, ""n_subjects"": 5, ""subject_id"": 8, ""score"": {""negative"": 1.0, ""tenebrite"": 0.3333333333333333}, ""user_weight_sum"": 7, ""n_users"": {""negative"": 6, ""tenebrite"": 1}}, {""weight"": 1.8, ""n_subjects"": 5, ""subject_id"": 9, ""score"": {""negative"": 1.0, ""tenebrite"": 0.3333333333333333}, ""user_weight_sum"": 6, ""n_users"": {""negative"": 5, ""tenebrite"": 1}}, {""weight"": 1.9666666666666668, ""n_subjects"": 5, ""subject_id"": 3, ""score"": {""negative"": 0.8333333333333334, ""tenebrite"": 1.0}, ""user_weight_sum"": 6, ""n_users"": {""negative"": 5, ""tenebrite"": 1}}]"
10,0.9909909909909907,3,"[{""classification_id"": ""5"", ""subject_id"": 5, ""user_id"": 10, ""label"": ""negative""}, {""classification_id"": ""7"", ""subject_id"": 6, ""user_id"": 10, ""label"": ""tenebrite""}, {""classification_id"": ""35"", ""subject_id"": 5, ""user_id"": 10, ""label"": ""tenebrite""}]","[{""weight"": 1.3333333333333333, ""n_subjects"": 3, ""subject_id"": 5, ""score"": {""negative"": 1.0, ""tenebrite"": 0.5}, ""user_weight_sum"": 4, ""n_users"": {""negative"": 3, ""tenebrite"": 1}}, {""weight"": 1.6666666666666667, ""n_subjects"": 3, ""subject_id"": 6, ""score"": {""negative"": 0.5, ""tenebrite"": 1.0}, ""user_weight_sum"": 8, ""n_users"": {""negative"": 3, ""tenebrite"": 5}}, {""weight"": 1.8333333333333333, ""n_subjects"": 3, ""subject_id"": 5, ""score"": {""negative"": 1.0, ""tenebrite"": 0.5}, ""user_weight_sum"": 4, ""n_users"": {""negative"": 3, ""tenebrite"": 1}}]"
9,1.0424710424710424,7,"[{""classification_id"": ""6"", ""subject_id"": 7, ""user_id"": 9, ""label"": ""negative""}, {""classification_id"": ""14"", ""subject_id"": 8, ""user_id"": 9, ""label"": ""negative""}, {""classification_id"": ""16"", ""subject_id"": 3, ""user_id"": 9, ""label"": ""negative""}, {""classification_id"": ""31"", ""subject_id"": 6, ""user_id"": 9, ""label"": ""tenebrite""}, {""classification_id"": ""41"", ""subject_id"": 3, ""user_id"": 9, ""label"": ""negative""}, {""classification_id"": ""46"", ""subject_id"": 9, ""user_id"": 9, ""label"": ""negative""}, {""classification_id"": ""49"", ""subject_id"": 3, ""user_id"": 9, ""label"": ""negative""}]","[{""weight"": 1.1428571428571428, ""n_subjects"": 7, ""subject_id"": 7, ""score"": {""negative"": 1.0, ""tenebrite"": 0.3333333333333333}, ""user_weight_sum"": 4, ""n_users"": {""negative"": 3, ""tenebrite"": 1}}, {""weight"": 1.2857142857142858, ""n_subjects"": 7, ""subject_id"": 8, ""score"": {""negative"": 1.0, ""tenebrite"": 0.3333333333333333}, ""user_weight_sum"": 7, ""n_users"": {""negative"": 6, ""tenebrite"": 1}}, {""weight"": 1.4047619047619049, ""n_subjects"": 7, ""subject_id"": 3, ""score"": {""negative"": 0.8333333333333334, ""tenebrite"": 1.0}, ""user_weight_sum"": 6, ""n_users"": {""negative"": 5, ""tenebrite"": 1}}, {""weight"": 1.5476190476190477, ""n_subjects"": 7, ""subject_id"": 6, ""score"": {""negative"": 0.5, ""tenebrite"": 1.0}, ""user_weight_sum"": 8, ""n_users"": {""negative"": 3, ""tenebrite"": 5}}, {""weight"": 1.6666666666666667, ""n_subjects"": 7, ""subject_id"": 3, ""score"": {""negative"": 0.8333333333333334, ""tenebrite"": 1.0}, ""user_weight_sum"": 6, ""n_users"": {""negative"": 5, ""tenebrite"": 1}}, {""weight"": 1.8095238095238098, ""n_subjects"": 7, ""subject_id"": 9, ""score"": {""negative"": 1.0, ""tenebrite"": 0.3333333333333333}, ""user_weight_sum"": 6, ""n_users"": {""negative"": 5, ""tenebrite"": 1}}, {""weight"": 1.9285714285714288, ""n_subjects"": 7, ""subject_id"": 3, ""score"": {""negative"": 0.8333333333333334, ""tenebrite"": 1.0}, ""user_weight_sum"": 6, ""n_users"": {""negative"": 5, ""tenebrite"": 1}}]"
4,0.9716859716859716,4,"[{""classification_id"": ""9"", ""subject_id"": 8, ""user_id"": 4, ""label"": ""negative""}, {""classification_id"": ""20"", ""subject_id"": 9, ""user_id"": 4, ""label"": ""negative""}, {""classification_id"": ""29"", ""subject_id"": 10, ""user_id"": 4, ""label"": ""tenebrite""}, {""classification_id"": ""33"", ""subject_id"": 2, ""user_id"": 4, ""label"": ""negative""}]","[{""weight"": 1.25, ""n_subjects"": 4, ""subject_id"": 8, ""score"": {""negative"": 1.0, ""tenebrite"": 0.3333333333333333}, ""user_weight_sum"": 7, ""n_users"": {""negative"": 6, ""tenebrite"": 1}}, {""weight"": 1.5, ""n_subjects"": 4, ""subject_id"": 9, ""score"": {""negative"": 1.0, ""tenebrite"": 0.3333333333333333}, ""user_weight_sum"": 6, ""n_users"": {""negative"": 5, ""tenebrite"": 1}}, {""weight"": 1.630952380952381, ""n_subjects"": 4, ""subject_id"": 10, ""score"": {""negative"": 1.0, ""tenebrite"": 0.5238095238095238}, ""user_weight_sum"": 7, ""n_users"": {""negative"": 4, ""tenebrite"": 3}}, {""weight"": 1.7976190476190477, ""n_subjects"": 4, ""subject_id"": 2, ""score"": {""negative"": 0.6666666666666666, ""tenebrite"": 1.0}, ""user_weight_sum"": 3, ""n_users"": {""negative"": 2, ""tenebrite"": 1}}]"
1,0.888030888030888,6,"[{""classification_id"": ""12"", ""subject_id"": 10, ""user_id"": 1, ""label"": ""tenebrite""}, {""classification_id"": ""17"", ""subject_id"": 10, ""user_id"": 1, ""label"": ""negative""}, {""classification_id"": ""27"", ""subject_id"": 7, ""user_id"": 1, ""label"": ""tenebrite""}, {""classification_id"": ""32"", ""subject_id"": 4, ""user_id"": 1, ""label"": ""negative""}, {""classification_id"": ""34"", ""subject_id"": 6, ""user_id"": 1, ""label"": ""negative""}, {""classification_id"": ""45"", ""subject_id"": 1, ""user_id"": 1, ""label"": ""negative""}]","[{""weight"": 1.0873015873015872, ""n_subjects"": 6, ""subject_id"": 10, ""score"": {""negative"": 1.0, ""tenebrite"": 0.5238095238095238}, ""user_weight_sum"": 7, ""n_users"": {""negative"": 4, ""tenebrite"": 3}}, {""weight"": 1.253968253968254, ""n_subjects"": 6, ""subject_id"": 10, ""score"": {""negative"": 1.0, ""tenebrite"": 0.5238095238095238}, ""user_weight_sum"": 7, ""n_users"": {""negative"": 4, ""tenebrite"": 3}}, {""weight"": 1.3095238095238095, ""n_subjects"": 6, ""subject_id"": 7, ""score"": {""negative"": 1.0, ""tenebrite"": 0.3333333333333333}, ""user_weight_sum"": 4, ""n_users"": {""negative"": 3, ""tenebrite"": 1}}, {""weight"": 1.392857142857143, ""n_subjects"": 6, ""subject_id"": 4, ""score"": {""negative"": 0.5, ""tenebrite"": 1.0}, ""user_weight_sum"": 2, ""n_users"": {""negative"": 1, ""tenebrite"": 1}}, {""weight"": 1.4761904761904763, ""n_subjects"": 6, ""subject_id"": 6, ""score"": {""negative"": 0.5, ""tenebrite"": 1.0}, ""user_weight_sum"": 8, ""n_users"": {""negative"": 3, ""tenebrite"": 5}}, {""weight"": 1.642857142857143, ""n_subjects"": 6, ""subject_id"": 1, ""score"": {""negative"": 1.0, ""tenebrite"": 0}, ""user_weight_sum"": 3, ""n_users"": {""negative"": 3, ""tenebrite"": 0}}]"
2,1.0167310167310166,4,"[{""classification_id"": ""15"", ""subject_id"": 10, ""user_id"": 2, ""label"": ""negative""}, {""classification_id"": ""18"", ""subject_id"": 1, ""user_id"": 2, ""label"": ""negative""}, {""classification_id"": ""21"", ""subject_id"": 9, ""user_id"": 2, ""label"": ""negative""}, {""classification_id"": ""26"", ""subject_id"": 10, ""user_id"": 2, ""label"": ""tenebrite""}]","[{""weight"": 1.25, ""n_subjects"": 4, ""subject_id"": 10, ""score"": {""negative"": 1.0, ""tenebrite"": 0.5238095238095238}, ""user_weight_sum"": 7, ""n_users"": {""negative"": 4, ""tenebrite"": 3}}, {""weight"": 1.5, ""n_subjects"": 4, ""subject_id"": 1, ""score"": {""negative"": 1.0, ""tenebrite"": 0}, ""user_weight_sum"": 3, ""n_users"": {""negative"": 3, ""tenebrite"": 0}}, {""weight"": 1.75, ""n_subjects"": 4, ""subject_id"": 9, ""score"": {""negative"": 1.0, ""tenebrite"": 0.3333333333333333}, ""user_weight_sum"": 6, ""n_users"": {""negative"": 5, ""tenebrite"": 1}}, {""weight"": 1.880952380952381, ""n_subjects"": 4, ""subject_id"": 10, ""score"": {""negative"": 1.0, ""tenebrite"": 0.5238095238095238}, ""user_weight_sum"": 7, ""n_users"": {""negative"": 4, ""tenebrite"": 3}}]"
3,1.0090090090090087,5,"[{""classification_id"": ""24"", ""subject_id"": 6, ""user_id"": 3, ""label"": ""tenebrite""}, {""classification_id"": ""25"", ""subject_id"": 9, ""user_id"": 3, ""label"": ""tenebrite""}, {""classification_id"": ""37"", ""subject_id"": 5, ""user_id"": 3, ""label"": ""negative""}, {""classification_id"": ""43"", ""subject_id"": 5, ""user_id"": 3, ""label"": ""negative""}, {""classification_id"": ""47"", ""subject_id"": 8, ""user_id"": 3, ""label"": ""negative""}]","[{""weight"": 1.2, ""n_subjects"": 5, ""subject_id"": 6, ""score"": {""negative"": 0.5, ""tenebrite"": 1.0}, ""user_weight_sum"": 8, ""n_users"": {""negative"": 3, ""tenebrite"": 5}}, {""weight"": 1.2666666666666666, ""n_subjects"": 5, ""subject_id"": 9, ""score"": {""negative"": 1.0, ""tenebrite"": 0.3333333333333333}, ""user_weight_sum"": 6, ""n_users"": {""negative"": 5, ""tenebrite"": 1}}, {""weight"": 1.4666666666666666, ""n_subjects"": 5, ""subject_id"": 5, ""score"": {""negative"": 1.0, ""tenebrite"": 0.5}, ""user_weight_sum"": 4, ""n_users"": {""negative"": 3, ""tenebrite"": 1}}, {""weight"": 1.6666666666666665, ""n_subjects"": 5, ""subject_id"": 5, ""score"": {""negative"": 1.0, ""tenebrite"": 0.5}, ""user_weight_sum"": 4, ""n_users"": {""negative"": 3, ""tenebrite"": 1}}, {""weight"": 1.8666666666666665, ""n_subjects"": 5, ""subject_id"": 8, ""score"": {""negative"": 1.0, ""tenebrite"": 0.3333333333333333}, ""user_weight_sum"": 7, ""n_users"": {""negative"": 6, ""tenebrite"": 1}}]"
